wiI7pd,dealership_name,manual_label,review_id,predicted_sentiment,predicted_label
Staff has no technical knowledge and periodic maintenance knowledge.  ,Suzuki Raiwind Motors (Raiwind Rd),0.0,32,0.2880175,0
Always good,Suzuki Raiwind Motors (Raiwind Rd),1.0,33,0.9552882,1
Very bad experience with suzuki raiwind team. Everybody busy in using mobile phone and not bother to the customer requirements. Even the delivery date committed for required work is not yet meet and giving wrong justification. I have never  ,Suzuki Raiwind Motors (Raiwind Rd),0.0,35,0.21485564,0
"""I had a very disappointing experience with this workshop. The customer service was extremely poor, and the staff were rude and unprofessional. If you value your time, money, and car, I would strongly advise against visiting this place.""",Suzuki Raiwind Motors (Raiwind Rd),0.0,36,0.24671517,0
"I've never experienced suchÃ a rubbish service from any authorised car dealer., which I found here in Suzuki RaiwindÃ MotorsUnfortunately, I reached out for repair and checked up my Suzuki Swift. No customer service is available, no one  ",Suzuki Raiwind Motors (Raiwind Rd),0.0,37,0.3467372,0
Suzuki show room free ac check up available here,Suzuki Raiwind Motors (Raiwind Rd),1.0,38,0.8941156,1
Some staff members need to be trained and taught some manners for dealing with customers. And if such staff has trouble working then they should be placed with the cars as a show-piece.,Suzuki Raiwind Motors (Raiwind Rd),0.0,39,0.30357873,0
Services are poor in expensive price,Suzuki Raiwind Motors (Raiwind Rd),0.0,40,0.17943834,0
Got paint job for my suzuki alto  very high quality paintwork. Got car on time. Highly recommended!,Suzuki Raiwind Motors (Raiwind Rd),1.0,41,0.7350809,1
Amazing Showroom Suzuki Motor's,Suzuki Raiwind Motors (Raiwind Rd),1.0,42,0.9543231,1
Compare to market they r expensive,Suzuki Raiwind Motors (Raiwind Rd),0.0,43,0.16888629,0
convinient location,Suzuki Raiwind Motors (Raiwind Rd),1.0,44,0.31863555,0
Buy new car and workshop,Suzuki Raiwind Motors (Raiwind Rd),1.0,46,0.68512726,1
bad experience 1st time service,Suzuki Raiwind Motors (Raiwind Rd),0.0,47,0.13419439,0
They changed the oil of less price but charged in bill for expensive grade.. cheat..,Suzuki Raiwind Motors (Raiwind Rd),0.0,49,0.20064744,0
It is amazing. Price is also reasonable. We also provide packages for the service.,Suzuki Raiwind Motors (Raiwind Rd),1.0,50,0.8878593,1
Good efficient facility,Suzuki Raiwind Motors (Raiwind Rd),1.0,51,0.95692456,1
Good cooperative and professional staff.,Suzuki Raiwind Motors (Raiwind Rd),1.0,52,0.85949147,1
Extremly poor service from there staff specially Shahid Sb. Not even a logo was installed of my car after getting repaired. Pathetic quality of paint and service by suzuki raiwind motors and when i called him after 5 days to get my car as  ,Suzuki Raiwind Motors (Raiwind Rd),0.0,54,0.22358555,0
I like spareparts Nd Wego. R is best car all of suzuki,Suzuki Raiwind Motors (Raiwind Rd),1.0,55,0.94406223,1
It was car's first checkup.Ã Very cordial and cooperative staff.,Suzuki Raiwind Motors (Raiwind Rd),1.0,56,0.6420794,1
"They are offering a package of 3500. In this they are offering 5,6 things.",Suzuki Raiwind Motors (Raiwind Rd),,58,0.27299568,0
"When I visited and got that package, that was disappointing...",Suzuki Raiwind Motors (Raiwind Rd),0.0,59,0.15115425,0
Nothing was done during that package rather than to told me to such further  ,Suzuki Raiwind Motors (Raiwind Rd),,60,0.3067372,0
Visited 2nd time to collect my colleague's car.,Suzuki Raiwind Motors (Raiwind Rd),,61,0.2765663,0
Nice staff dealing with care and respect.  ,Suzuki Raiwind Motors (Raiwind Rd),1.0,62,0.9474066,1
The most pathetic technology of Pakistan with enormous prices comparatively in the world if I take the basic model price w suzuki alto VXR 660 cc which is costing a common pakistani 2.63million pak rupee whereas in India it cost them  ,Suzuki Raiwind Motors (Raiwind Rd),0.0,63,0.2585843,0
Professional and trained staff.,Suzuki Raiwind Motors (Raiwind Rd),1.0,65,0.43595105,0
too much expensive,Suzuki Raiwind Motors (Raiwind Rd),0.0,66,0.17124683,0
This is a very good place car care and best body shop for Suzuki,Suzuki Raiwind Motors (Raiwind Rd),1.0,68,0.96415794,1
staff is cooperative,Suzuki Raiwind Motors (Raiwind Rd),1.0,69,0.31359413,0
"Very professional staff, Cooperate. Fully satisfied with my visit",Suzuki Raiwind Motors (Raiwind Rd),1.0,70,0.848148,1
They stole parts,Suzuki Raiwind Motors (Raiwind Rd),0.0,71,0.30767584,0
Mechanics especially,Suzuki Raiwind Motors (Raiwind Rd),,72,0.7788151,1
Pathetic service. Sent my car for gear box switch replacement and radiator cut out switch replacement. They didn't have the geniune part and ask to take from open market.  ,Suzuki Raiwind Motors (Raiwind Rd),0.0,73,0.19438292,0
Good Experience,Suzuki Raiwind Motors (Raiwind Rd),1.0,74,0.957092,1
Non Professional staff and Mechanical team,Suzuki Raiwind Motors (Raiwind Rd),0.0,77,0.385227,0
Corrupt system and staff Specially Mr Shahid,Suzuki Raiwind Motors (Raiwind Rd),0.0,78,0.50971514,1
Paintr Dwntr,Suzuki Raiwind Motors (Raiwind Rd),,79,0.3152977,0
"Pathetic body shop work, way too slow for the prices they charge.",Suzuki Raiwind Motors (Raiwind Rd),0.0,80,0.14588258,0
Their lighting is terrible in the workshops.  ,Suzuki Raiwind Motors (Raiwind Rd),0.0,81,0.098765925,0
Very very very poor quality and bad car service area,Suzuki Raiwind Motors (Raiwind Rd),0.0,82,0.1523955,0
"Very very poor experience, 3rd class quality, dont know anything only say 'yeh naya lage ga' and the worker who service my car was very dishonest and 2 number",Suzuki Raiwind Motors (Raiwind Rd),0.0,83,0.25245327,0
Never go to their 1st floor for service here they dont pay attention,Suzuki Raiwind Motors (Raiwind Rd),0.0,84,0.26712537,0
Nice environment but,Suzuki Raiwind Motors (Raiwind Rd),1.0,85,0.9582424,1
Ac not working in the waiting room,Suzuki Raiwind Motors (Raiwind Rd),0.0,86,0.27252916,0
3rd class services. I went for 2 appointments but did not do any work. Things come in front of me but some are not available.,Suzuki Raiwind Motors (Raiwind Rd),0.0,88,0.2948501,0
"too much expensive, charging insanely high rates, well equipped but staff same as common lahori wirkshop mind",Suzuki Raiwind Motors (Raiwind Rd),0.0,89,0.281607,0
no training,Suzuki Raiwind Motors (Raiwind Rd),0.0,90,0.31022772,0
no special care,Suzuki Raiwind Motors (Raiwind Rd),0.0,91,0.30139127,0
"Don't go for any repair, mechanical or electric fault",Suzuki Raiwind Motors (Raiwind Rd),0.0,92,0.26800767,0
Great experience. Excellent services,Suzuki Raiwind Motors (Raiwind Rd),1.0,93,0.97612935,1
Poor management. Staff is not technical. Overall bad experience!,Suzuki Raiwind Motors (Raiwind Rd),0.0,94,0.2104848,0
Pathetic service.,Suzuki Raiwind Motors (Raiwind Rd),0.0,95,0.09785193,0
Very good services for Suzuki Cars.,Suzuki Raiwind Motors (Raiwind Rd),1.0,96,0.97425264,1
Very good behavious of all technical Staff,Suzuki Raiwind Motors (Raiwind Rd),1.0,97,0.8931263,1
Very unprofessional staff. Miscommunicates and misbehaves with the customers.,Suzuki Raiwind Motors (Raiwind Rd),0.0,99,0.53418946,1
Charging extra money over previous stock.,Suzuki Raiwind Motors (Raiwind Rd),0.0,100,0.24330159,0
Service good but spare parts on higher than market.,Suzuki Raiwind Motors (Raiwind Rd),1.0,101,0.88757265,1
Good service,Suzuki Raiwind Motors (Raiwind Rd),1.0,102,0.95621544,1
They are very cool because they let us sit in their lawnÃ°ÂÂÂ  ,Suzuki Raiwind Motors (Raiwind Rd),1.0,103,0.8789403,1
Car care center,Suzuki Raiwind Motors (Raiwind Rd),1.0,104,0.27293384,0
Nice Office but relation officers are unqualified,Suzuki Raiwind Motors (Raiwind Rd),1.0,105,0.94175863,1
Great location and service,Suzuki Raiwind Motors (Raiwind Rd),1.0,107,0.9677292,1
"One of busiest Suzuki workshop recommended one, visit on working days you ll find it easy to get your turn quickly. Wide area for parking and don t forget to have a car wash Ã¢ÂÂit is freeÃ¢ÂÂ :p  ",Suzuki Raiwind Motors (Raiwind Rd),,108,0.45657957,0
Gud experience,Suzuki Raiwind Motors (Raiwind Rd),1.0,109,0.31795943,0
ExcellentÃ place for the repair work of suzuki,Suzuki Raiwind Motors (Raiwind Rd),1.0,110,0.97831815,1
New Vehicles are there for sale,Suzuki Raiwind Motors (Raiwind Rd),1.0,111,0.6514143,1
Thieves say that the car that is parked is not ours.  ,Suzuki Raiwind Motors (Raiwind Rd),,113,0.2717437,0
"A great platform for buying vehicles, repairing and Maintenance of vehicles, exchanging parts and oils or buying new Parts.",Suzuki Raiwind Motors (Raiwind Rd),1.0,114,0.86303365,1
Quick service. Slightly expensive. Friendly staff.,Suzuki Raiwind Motors (Raiwind Rd),1.0,115,0.56179655,1
Not good experience,Suzuki Raiwind Motors (Raiwind Rd),0.0,117,0.21329133,0
Service is Good as per people saying,Suzuki Raiwind Motors (Raiwind Rd),1.0,118,0.94557446,1
Good experience both sales and service,Suzuki Raiwind Motors (Raiwind Rd),1.0,119,0.95429623,1
"Very non-professional staff, they couldn't identify my car's problem",Suzuki Raiwind Motors (Raiwind Rd),0.0,120,0.3794563,0
They are good at servicing...the only dealership who do ask customers for tea or coffee...,Suzuki Raiwind Motors (Raiwind Rd),1.0,122,0.8421084,1
Good dealing,Suzuki Raiwind Motors (Raiwind Rd),1.0,123,0.9562101,1
Went there for an oil change.,Suzuki Raiwind Motors (Raiwind Rd),,124,0.29133865,0
Suzuki mehran oil changes billÃ was around 4500.,Suzuki Raiwind Motors (Raiwind Rd),,125,0.28992316,0
One place with multiple services,Suzuki Raiwind Motors (Raiwind Rd),1.0,126,0.29693654,0
"Most of there contact numbers not responding, get there numbers from their Facebook page.",Suzuki Raiwind Motors (Raiwind Rd),0.0,128,0.7205605,1
Quality service,Suzuki Raiwind Motors (Raiwind Rd),1.0,129,0.32103062,0
Very well staff,Suzuki Raiwind Motors (Raiwind Rd),1.0,130,0.6808058,1
Very expensive but good service,Suzuki Raiwind Motors (Raiwind Rd),0.0,131,0.65922034,1
"Undoubtedly, Staff is very cooperative. And even the guy who serves has a very cool temperament. Car services are qualitative and highly satisfactory.",Suzuki Raiwind Motors (Raiwind Rd),1.0,132,0.74802387,1
Pathetic services till now .. they gave me a faulty car...esp system is malfunctioning and they are unable to resolve that issue... Now they are not responding to my calls even...,Suzuki Raiwind Motors (Raiwind Rd),0.0,133,0.16319543,0
Location is good but staff isnot cooperative,Suzuki Raiwind Motors (Raiwind Rd),,135,0.9469871,1
Place for buy Cars,Suzuki Raiwind Motors (Raiwind Rd),,136,0.31801668,0
Very humble and professional staff,Suzuki Raiwind Motors (Raiwind Rd),,137,0.3399864,0
"Cooperative sale staff and also mechanical staff, doing work efficiently.",Suzuki Raiwind Motors (Raiwind Rd),,138,0.29063025,0
"Third Class Service, I got my front wheel bearing vhanged and they charged 20K for that, but it turns be to Grrr sound again inÃ 1 week,Ã i checked up with local mechanic, shocked to see they did not replacebearingsjust greased the old  ",Suzuki Raiwind Motors (Raiwind Rd),,139,0.31668213,0
"Good place for service vehicle,",Suzuki Raiwind Motors (Raiwind Rd),,140,0.95498955,1
"They do repairs which are needed,",Suzuki Raiwind Motors (Raiwind Rd),,141,0.29419616,0
They dont force for extra thing like other motors.,Suzuki Raiwind Motors (Raiwind Rd),,142,0.25318173,0
Nice staff.,Suzuki Raiwind Motors (Raiwind Rd),,143,0.9579691,1
Great Service,Suzuki Raiwind Motors (Raiwind Rd),,144,0.9675773,1
Our customer service in this area,Suzuki Raiwind Motors (Raiwind Rd),,145,0.2929044,0
Good location or view showroom,Suzuki Raiwind Motors (Raiwind Rd),,146,0.9533718,1
Overall service is efficient and customer service is good.,Suzuki Raiwind Motors (Raiwind Rd),,147,0.76646113,1
Please shorten your service lunch break duration as 1 hour wait is too long for  ,Suzuki Raiwind Motors (Raiwind Rd),,148,0.2683775,0
Friendly staff guide in a proper way. Return vehicle on committed time.,Suzuki Raiwind Motors (Raiwind Rd),,150,0.526835,1
Good dealing,Suzuki Raiwind Motors (Raiwind Rd),,151,0.9562101,1
Very nice experience,Suzuki Raiwind Motors (Raiwind Rd),,152,0.9708255,1
This place is good but usually over crowded. They need to have more staff,Suzuki Raiwind Motors (Raiwind Rd),,153,0.7115484,1
Good service quality,Suzuki Raiwind Motors (Raiwind Rd),,155,0.95626694,1
Good place for car services.,Suzuki Raiwind Motors (Raiwind Rd),,156,0.95417863,1
"Over expensive, use second hand part or copy parts and charge for genuine parts, lair,",Suzuki Raiwind Motors (Raiwind Rd),,157,0.27820727,0
We went 3 times and every time they deceive us use china parts and charge for  ,Suzuki Raiwind Motors (Raiwind Rd),,158,0.26998374,0
Good work. Trained staff.,Suzuki Raiwind Motors (Raiwind Rd),,159,0.9549949,1
"For Suzuki vehicles service and parts, good service and expensive parts",Suzuki Raiwind Motors (Raiwind Rd),,160,0.6614624,1
Poor service no parts available,Suzuki Raiwind Motors (Raiwind Rd),,161,0.41752008,0
Not recommended place,Suzuki Raiwind Motors (Raiwind Rd),,162,0.3032396,0
The behavior of personals at Car service is good. Well organized.,Suzuki Raiwind Motors (Raiwind Rd),,164,0.9374404,1
"Just to update, that this showroom does not deal in motorcycles sales, service and spare parts anymore. This is updated afterÃ a visit and telephonic call with the owner of the showroom",Suzuki Raiwind Motors (Raiwind Rd),,165,0.2986105,0
"The place has deteriorated over past 2-3 years, when the staff used to be courteous and during each visit all required points of vehicle were thoroughly checked. With passage of time, number of vehicles at workshop has increased and old  ",Suzuki Raiwind Motors (Raiwind Rd),,166,0.50687534,1
Not recommended. better to go suzuki Township. They were ready to cut the screw to make it straight because they don't have proper 5 sided L key to open. That much big store and didn't have proper tools,Suzuki Raiwind Motors (Raiwind Rd),,168,0.38494796,0
Nice location but staff shortage.,Suzuki Raiwind Motors (Raiwind Rd),,169,0.9519543,1
Not Recommended,Suzuki Raiwind Motors (Raiwind Rd),,170,0.3096308,0
Everything is good,Suzuki Raiwind Motors (Raiwind Rd),,171,0.95165,1
Updating my feedback. Workshop updated last year and has professional staff.,Suzuki Raiwind Motors (Raiwind Rd),,172,0.32124102,0
Nice look but cars not ready available book Ur car on full payment and delivery after 3 months minimum.,Suzuki Raiwind Motors (Raiwind Rd),,173,0.7891826,1
"Although the owner is a very nice person, yet some staff members are not well mannered. But overall a good experience.",Suzuki Raiwind Motors (Raiwind Rd),,174,0.82754886,1
They are expensive but service is good,Suzuki Raiwind Motors (Raiwind Rd),,175,0.6535794,1
Very poor service,Suzuki Raiwind Motors (Raiwind Rd),,176,0.17810778,0
Fabulous service,Suzuki Raiwind Motors (Raiwind Rd),,177,0.93244576,1
"I went for turning and wheel balancing, staff was professional and polite. I asked a lot of questions and they answered most of them with significant details. The wheel balancing process was exceptional. As for tuning staff guided me  ",Suzuki Raiwind Motors (Raiwind Rd),,178,0.69393986,1
Overall good experience. Kindly add the break hour. That will be helpful for the customers.,Suzuki Raiwind Motors (Raiwind Rd),,180,0.85005647,1
There services are pathetic and they can't do what they are capable off. Their Body/maintainence department is full of negative and fraud people they lie to you with so much ease that u cant do any thing. Even the number given for  ,Suzuki Raiwind Motors (Raiwind Rd),,181,0.28381926,0
Very poor and very costly.,Suzuki Raiwind Motors (Raiwind Rd),,182,0.30280593,0
Visited Suzuki Raiwind Motors for my vehicle servicing. My experience there remained satisfactory.,Suzuki Raiwind Motors (Raiwind Rd),,183,0.29009014,0
Very poor quality of work,Suzuki Raiwind Motors (Raiwind Rd),,184,0.17797224,0
"Always good, They treat their customer in decent andÃ mannerable way..",Suzuki Raiwind Motors (Raiwind Rd),,185,0.889053,1
Good in dealing,Suzuki Raiwind Motors (Raiwind Rd),,186,0.9552003,1
Was a nice place,Suzuki Raiwind Motors (Raiwind Rd),,187,0.95422524,1
But a little bit concentration is required for timely service,Suzuki Raiwind Motors (Raiwind Rd),,188,0.25814918,0
Excellent people and fair dealing,Suzuki Raiwind Motors (Raiwind Rd),,189,0.972336,1
Good Suzuki showroom and service center.,Suzuki Raiwind Motors (Raiwind Rd),,190,0.80855733,1
Satisfactory service.the staff is experienced and are always there to assist its been years since I've been visiting suzuki motorsÃ and was never disappointed,Suzuki Raiwind Motors (Raiwind Rd),,191,0.8353708,1
Very nice place,Suzuki Raiwind Motors (Raiwind Rd),,193,0.97069067,1
Poor service,Suzuki Raiwind Motors (Raiwind Rd),,194,0.19644181,0
Nice services cooperative staff,Suzuki Raiwind Motors (Raiwind Rd),,195,0.95684046,1
Lets see how they provide service,Suzuki Raiwind Motors (Raiwind Rd),,196,0.2897499,0
Well trained staff nice behavior.,Suzuki Raiwind Motors (Raiwind Rd),,197,0.9547861,1
Worst experience...as being lady if you know nothing about car it is not a good recommendation... Still one thing of my car is missing and i visited them more than three times...Ã Just a money maker..Ã Only recommend this for tunning and oil change in supervision,Suzuki Raiwind Motors (Raiwind Rd),,198,0.2666938,0
So far so good,Suzuki Raiwind Motors (Raiwind Rd),,199,0.93239754,1
Happy with their services. Staff is good and cooperative and yes genuine parts are quite expensive as compare to local shops.,Suzuki Raiwind Motors (Raiwind Rd),,200,0.6608427,1
Service level needs improvement,Suzuki Raiwind Motors (Raiwind Rd),,201,0.29912546,0
"Their staff lack competency, poor service, careless services personnel's.",Suzuki Raiwind Motors (Raiwind Rd),,202,0.18308747,0
"1: Their paint department doesn't have any experience to match color, my sons car has now 2 different shades on Bumpers. Upon complaint they argue with stupidly  ",Suzuki Raiwind Motors (Raiwind Rd),,203,0.21407099,0
The worst workshop of suzuki. The body shop totaly destroyed the repair of a door and fendor. They didn't even took the dent out and just simply painted it over damaged dents. They dodnt took the door out and sprayed all the locks and  ,Suzuki Raiwind Motors (Raiwind Rd),,204,0.21249428,0
I have been coming here from the past 1 year and their service is amazing.,Suzuki Raiwind Motors (Raiwind Rd),,205,0.6972722,1
Highly recommended!!!,Suzuki Raiwind Motors (Raiwind Rd),,206,0.77821136,1
Having good and experience staff.,Suzuki Raiwind Motors (Raiwind Rd),,207,0.9537559,1
Worst services,Suzuki Raiwind Motors (Raiwind Rd),,208,0.097881466,0
Too much expensive.. almost 5 times more expensive but work is highly satisfactory,Suzuki Raiwind Motors (Raiwind Rd),,209,0.28656057,0
They cover a lot of area and many industries come in their range for services it becomes quite challenging to get free in time. They need to make more bays.,Suzuki Raiwind Motors (Raiwind Rd),,210,0.6827271,1
Good huge place,Suzuki Raiwind Motors (Raiwind Rd),,211,0.94951874,1
Need to train their staff to improvise their dealings with customers.,Suzuki Raiwind Motors (Raiwind Rd),,212,0.26660034,0
Somehow a weird experience.,Suzuki Raiwind Motors (Raiwind Rd),,213,0.21008883,0
Excellent service,Suzuki Raiwind Motors (Raiwind Rd),,214,0.98042727,1
Staff was professional and services were excellent,Suzuki Raiwind Motors (Raiwind Rd),,215,0.9230112,1
Good showroom and customer service is also good.,Suzuki Raiwind Motors (Raiwind Rd),,216,0.9488098,1
Nice dealing,Suzuki Raiwind Motors (Raiwind Rd),,217,0.95820004,1
Go there with pocket full of atleast 3Million Ã°ÂÂÂ,Suzuki Raiwind Motors (Raiwind Rd),,218,0.84982085,1
good customer support  ,Suzuki Raiwind Motors (Raiwind Rd),,219,0.95326924,1
Excellent specially Mr Abdul Raheem,Suzuki Raiwind Motors (Raiwind Rd),,220,0.9611938,1
"Good service, they explain you the service and benefits in details and guide you to do those things which are necessary. Better to go on official service center rather any street workshops.",Suzuki Raiwind Motors (Raiwind Rd),,221,0.5021119,1
Very good customer care services...,Suzuki Raiwind Motors (Raiwind Rd),,222,0.97263116,1
"Only workshop around this area, would be better if there were more.",Suzuki Raiwind Motors (Raiwind Rd),,223,0.8340503,1
One of most busy showroom,Suzuki Raiwind Motors (Raiwind Rd),,224,0.7777242,1
Very professional,Suzuki Raiwind Motors (Raiwind Rd),,225,0.49339554,0
Very cooperative,Suzuki Raiwind Motors (Raiwind Rd),,226,0.686102,1
Best in the town,Suzuki Raiwind Motors (Raiwind Rd),,227,0.9626557,1
Good service.,Suzuki Raiwind Motors (Raiwind Rd),,228,0.95621544,1
Good cooperative staff,Suzuki Raiwind Motors (Raiwind Rd),,229,0.9573138,1
Excellent experience,Suzuki Raiwind Motors (Raiwind Rd),,230,0.9808229,1
Good services,Suzuki Raiwind Motors (Raiwind Rd),,231,0.95589054,1
It's awesome,Suzuki Raiwind Motors (Raiwind Rd),,232,0.9776739,1
Very happy with their services and the way they deal with customers is amazing. Very humble and professional.,Suzuki Raiwind Motors (Raiwind Rd),,233,0.8025097,1
"Received my WagonR VXL today, although the tentative delivery date is 18-Feb, but thet delivered the vehicle earlier. Special thanks to Mr.Zaheer!",Suzuki Raiwind Motors (Raiwind Rd),,234,0.557672,1
Efficient service and good customer care Ã°ÂÂÂ  ,Suzuki Raiwind Motors (Raiwind Rd),,235,0.9527196,1
Good Ã¢ÂÂºÃ¯Â¸Â,Suzuki Raiwind Motors (Raiwind Rd),,236,0.95676655,1
Very cooperative and talented staff to guide us properly. New lifting machines installed on new work stations for cars so now more car can work around in same time.,Suzuki Raiwind Motors (Raiwind Rd),,237,0.59354556,1
Cooperative staff,Suzuki Raiwind Motors (Raiwind Rd),,238,0.32343942,0
The staff is cooperative and knowledgeable.,Suzuki Raiwind Motors (Raiwind Rd),,239,0.30805564,0
They need to reduce labour prices.,Suzuki Raiwind Motors (Raiwind Rd),,240,0.27499467,0
Also there is no drop and pick your car service like other branches.,Suzuki Raiwind Motors (Raiwind Rd),,241,0.2460761,0
The prayer area is required to be cleaned and renovated.,Suzuki Raiwind Motors (Raiwind Rd),,242,0.27466366,0
Excellent services and well behaved and skilled staff.,Suzuki Raiwind Motors (Raiwind Rd),,243,0.9595012,1
Totally satisfied with the service.,Suzuki Raiwind Motors (Raiwind Rd),,244,0.9312218,1
Busy but good staff,Suzuki Raiwind Motors (Raiwind Rd),,245,0.86585724,1
Larking area dirty,Suzuki Raiwind Motors (Raiwind Rd),,246,0.16071847,0
Cooperative,Suzuki Raiwind Motors (Raiwind Rd),,247,0.3271273,0
Very cooperative staff nice environment and waiting room is too good witha very hospitable host.,Suzuki Raiwind Motors (Raiwind Rd),,248,0.87733346,1
They are not going with rules and regulations there is no edicates in the workers.,Suzuki Raiwind Motors (Raiwind Rd),,249,0.28093597,0
Bad experience of mehran booking with suzuki motor raiwind road and pak suzuki.,Suzuki Raiwind Motors (Raiwind Rd),,250,0.13473694,0
Always late,Suzuki Raiwind Motors (Raiwind Rd),,251,0.23789717,0
A team of Professionall peoples.,Suzuki Raiwind Motors (Raiwind Rd),,253,0.29736272,0
"Neat and Clean environment, Skilled staff.",Suzuki Raiwind Motors (Raiwind Rd),,254,0.92163384,1
Suzuki Raiwind,Suzuki Raiwind Motors (Raiwind Rd),,255,0.3219505,0
Very badÃ customerÃ dealing specially if you are there just to but thing off counter,Suzuki Raiwind Motors (Raiwind Rd),,256,0.21981968,0
Nice people,Suzuki Raiwind Motors (Raiwind Rd),,257,0.9591328,1
Staff are not experienced,Suzuki Raiwind Motors (Raiwind Rd),,259,0.22237316,0
Good service,Suzuki Raiwind Motors (Raiwind Rd),,260,0.95621544,1
Quality products,Suzuki Raiwind Motors (Raiwind Rd),,261,0.32216272,0
Worst experience! Dont ever go to suzuki raiwand motors,Suzuki Raiwind Motors (Raiwind Rd),,262,0.10076318,0
Totally satisfied with their after sales service. Professional staff.,Suzuki Raiwind Motors (Raiwind Rd),,263,0.80746526,1
specially Mr Jawwad. helped me throughout the service process.,Suzuki Raiwind Motors (Raiwind Rd),,264,0.8746463,1
"Untrained staff, even under 16 boys. I had wheels alignment with poor services but high charges. My journey from lahore to Islamabad was very painful. Supervisors were also not interested for final checkups. Not recommended.",Suzuki Raiwind Motors (Raiwind Rd),,265,0.27941358,0
Bought new alto from them...although their marketing staff is good and cooperative....,Suzuki Raiwind Motors (Raiwind Rd),,267,0.8454918,1
So in this new car they delivered me a wiper which was not working ....so as i  ,Suzuki Raiwind Motors (Raiwind Rd),,268,0.3880528,0
Staff was very cooperative but as my problem was not solved due to paucity of time so I give it 4 rating... :p,Suzuki Raiwind Motors (Raiwind Rd),,270,0.307168,0
Very good staff,Suzuki Raiwind Motors (Raiwind Rd),,272,0.97366947,1
Normal not a good experience,Suzuki Raiwind Motors (Raiwind Rd),,273,0.36523482,0
Very easy approach and excellent environment,Suzuki Raiwind Motors (Raiwind Rd),,275,0.96804804,1
The service is okay,Suzuki Raiwind Motors (Raiwind Rd),,277,0.9131411,1
