review_text,dealership_name,label
"A fully equipped workshop having 5S Services.
Good customer care attitude located near LOS stop off ferozpur road",Suzuki Khalid Motors (Link Ferozpur),1
"Very bad behaviour of staff, less experience, poor service, less staff, do not have good knowledge about honda models, its better book somewhere else",HONDA Gateway,0
"Good service and waiting room. Friendly environment for females, they have a few female employees, great to see gender balance in a work shop/auto showroom.",Suzuki Khalid Motors (Link Ferozpur),1
Bought our car from here and good after service by the team here.,Suzuki Khalid Motors (Link Ferozpur),1
Very Co operative staff and good showroom,Suzuki Adil Zafar Motors,1
Nice environment but,Suzuki Raiwind Motors (Raiwind Rd),1
Excellent services,HONDA Township,1
Bad service,HONDA Fort,0
Always good,Suzuki Raiwind Motors (Raiwind Rd),1
It was expensive but has good workmanship,HONDA Township,0
"DO NOT VISIT. I have tried almost all the Suzuki service providers but this was totally rubbish. Charging very high money for pathetic work. Gave my car for repair and they stole everything from inside. Also, very poor denting and paint services. Never going there again.",Suzuki Sethi Motors (Town Morr),0
"When I visited and got that package, that was disappointing...",Suzuki Raiwind Motors (Raiwind Rd),0
Staff is good. Good behaviour. Focused staff.,Suzuki Raiwind Motors (Raiwind Rd),1
"Have a poor experience with them. They have to issue me a cheque since last 1 year. And they say that it is honda atlas domain. No o e is ready to help. Poor after after sales services.
Still same comments.",HONDA Point,0
Dont book car from here. Honda ring road is big fraud. Especially overseas dont buy from here they blackmail to customers. Sale management is non professional. I have all chat proves. They threat to customers and zero customer care. Female behavior is very offensive. Because uneducated sale management.,HONDA RingRoad,0
"I would avoid Honda Point. I went for a oil change. Instead of seeing a customer service staff, I was moved between four different staff members. The whole operation was based in a stuffy, hot and smelly workshop area. I highlighted the issue everyone I met there and they all blamed their management. This shows that the Honda Point is being run by inefficient managers who don't know even the basics of customer service or about the concept of one stop customer service. I will never visit them again but also advise you to research if other Honda dealerships are offering better service.",HONDA Point,0
I do not want to give single star as well. In case of warranty they didn't own the car. Even they didn't explained and show me on warranty card that if camber can't be covered.,Suzuki Raiwind Motors (Raiwind Rd),0
This was excellent place,HONDA Fort,1
Nice place.,HONDA Fort,1
Staff is helpful and cooperative.,HONDA Township,1
"Excellent choice. You can wait in a rest area and tea, watch tv ,read newspaper while your car is being serviced",Suzuki Mini Motors (Gulberg 3),1
Dangerous area,HONDA RingRoad,0
"Staff is very professional and helpful in any kind of maintenance and parts replacement, they assist very professionally and guide for right services. I always prefer honda township (Near to pindi stop peco road) for my vehicles maintenance and spare parts replacement
Highly recommended",HONDA Township,1
Excellent Service.,HONDA Township,1
Location is a little bit odd but mechanics are good and quick knows their work properly.,Suzuki Mini Motors (Gulberg 3),1
Just okay service.,HONDA Point,0
Very polite & helpful staff!!,HONDA Fort,1
"Professional services with qualified staff. I visit ""Honda Township"" for my ""Honda City"" regular check-ups and maintenance, and I am very much satisfied.",HONDA Township,1
Very good services especialy body shop,HONDA Gateway,1
Improved services and cooperative staff,HONDA Point,1
Excellent customer service...,HONDA Fort,1
"Never visit, save your car.
Was very good service provider not so long ago. But now their services are just craps and of very very poor quality. They broke my engine cover during service, broke my tyre nuts during service, and I think they did it intentionally and bluntly asked me to buy new parts so that you can drive the car. The Manager was not so professional and ignorant. I wish I could give them less then 1 star.",Suzuki Mini Motors (Gulberg 3),0
Nice working staff and good services,HONDA RingRoad,1
Overall good experience Staff was good but only prices are so high,Suzuki Khalid Motors (Link Ferozpur),1
Compare to market they r expensive,Suzuki Raiwind Motors (Raiwind Rd),0
Extremely expensive job rate at there. No doubt work is satisfactory but very expansive.,HONDA Township,0
Number One Dealership For Honda cars in Lahore.Workshop is highly recommended,HONDA Fort,1
Great friendly environment. Own prices are not high. But good experience. I bought my vegon R.,Suzuki Sethi Motors (Town Morr),1
"I went here for a repair for my car. The repair work itself was fine but the customer support staff were not professional and made me wait for an eternity whether it be getting an estimate for the damage to after the work was done and the invoice was to be paid. All in all it was an ok experience due to the quality of the repair work. Other than that, the customer support staff need to be professional and better trained on how to deal with customers.",Suzuki Sethi Motors (Town Morr),0
They are very good in their jobs specially body and paint shop.,Suzuki Khalid Motors (Link Ferozpur),1
Good Experience,Suzuki Raiwind Motors (Raiwind Rd),1
Its a Suzuki workshop and sale center. All type of services are available here regarding your car.,Suzuki Sethi Motors (Town Morr),1
Beautiful,Suzuki Raiwind Motors (Raiwind Rd),1
They took almost one hour but unable to fix the issue in my car which was done by an ordinary mechanic outside in 10 minutes.,Suzuki Adil Zafar Motors,0
always a choice for honda lovers,HONDA Gateway,1
"Bought a City Aspire from this dealership. Mr. Samar was the person who dealt with me. I would say that the services provided by Mr. Samar from the start of the deal until the delivery of my required car file and smart card were simply marvelous. He was very patient and clarified all my queries in the beginning and then he delivered everything well before time, whether it was the car itself or the registration documents. This was the best experience I could imagine from a car dealership and only because of Mr. Samar.
Many thanks to Mr. Samar. I really fall short of words to express the good services he provided. Whatever he promised, he was always well before time to deliver. Very patient, courteous and humble person. Thank you again.",HONDA Township,1
Good dealership . Very nice staff,Suzuki Mini Motors (Gulberg 3),1
Excellent services,HONDA Township,1
Good dealership for purchasing cars. But workshop side is very small.,HONDA Fort,1
Good workshop,HONDA Point,1
Well trained staff to take care of your Suzuki vehicles.  Advance appointment is better idea to save your time. Timings are from 9 to 6 sharp. Highly recommended for quality service.,Suzuki Khalid Motors (Link Ferozpur),1
"Felt similar to visiting a govt office. Lethargy , politics , unprofessional attitude all around. A place frozen in time with a mindset of 30 years ago",Suzuki Mini Motors (Gulberg 3),0
Nothing special,HONDA Gateway,0
"Near to main road, parking facility outside showroom. Generally good reputation",Suzuki Khalid Motors (Link Ferozpur),1
"A very well set up suzuki dealership with proper competent workforce. With the latest equipment and proper handling, car has never had any trouble. Its been 5 years and every time I get my car maintained from it. A bit expensive if compared to market but the excess price is compensated since no other fault appears while repairing any existing one.",Suzuki Sethi Motors (Town Morr),1
Services are very good but hell expensive i mean fazool mai hi itna expensive where you can ask for the services of 10k here you have to spend 30 to 40k i mean dimag thek hai,HONDA Fort,0
Good quality work. Timely service. Friendly people.,HONDA Township,1
New Vehicles are there for sale,Suzuki Raiwind Motors (Raiwind Rd),1
If u want to tune ur car tow adil zafar best hai,Suzuki Adil Zafar Motors,1
Very good behavious of all technical Staff,Suzuki Raiwind Motors (Raiwind Rd),1
"Very professional staff, Cooperate. Fully satisfied with my visit",Suzuki Raiwind Motors (Raiwind Rd),1
Good cooperative staff..All Suzuki cars variety available...testing facility,Suzuki Khalid Motors (Link Ferozpur),1
They identified the wrong fault. Parts not available. Finally advised to take car elsewhere for repairs. Charged 2500 for doing nothing.,HONDA Township,0
Very nice location from where u can easily move any where in lahore,Suzuki Khalid Motors (Link Ferozpur),1
Staff is good. Not well managed. You have to wait  even for inspection.,Suzuki Adil Zafar Motors,1
Parking issues.,HONDA Township,0
"oodnplace, cooperative staff. Well trained for Suzuki Cars",Suzuki Mini Motors (Gulberg 3),1
Very bad experience. Non cooperative staff,Suzuki Adil Zafar Motors,0
I buy 6500 package of tunning.the worker wasted the time in cleaning the plugs  ,Suzuki Raiwind Motors (Raiwind Rd),0
Awesome service and staff. One place for all car services.,Suzuki Sethi Motors (Town Morr),1
"Nice place, good experience. A little expensive and a bit high price rates for products but the experience was quite satisfying.",Suzuki Adil Zafar Motors,1
It was OK let's see after sale service,Suzuki Mini Motors (Gulberg 3),1
Nice workshop,HONDA Fort,1
"Good services, well experienced team",HONDA RingRoad,1
One of the best sales and service point of Suzuki motors in Lahore. Showroom is very neat and clean. The scales staff is courtious and cooperative.,Suzuki Sethi Motors (Town Morr),1
Service is good but too expensive??,HONDA Point,0
Normally they provide okay services. But one time they installed defective product and I had to waste my time arguing with the management to get a refund.,HONDA Point,0
"Staff is very skilled and coprative. But main issue is with price. They charge alteast 2x on parts. In same thing is available at half price.

For staff its 5/5 no issue with staff.",Suzuki Khalid Motors (Link Ferozpur),1
The Services are Normal But The Spare Parts Prices are Sky rocketing. I would not suggest Buying Spare Parts from Their Spare Parts Shop.,Suzuki Khalid Motors (Link Ferozpur),0
Its a honda service center,HONDA Point,1
Good service & Guest area,HONDA Gateway,1
Great experience.  They are nice people with great communication and honest working.,Suzuki Sethi Motors (Town Morr),1
Great experience,HONDA Fort,1
Good place to buy Honda.,HONDA RingRoad,1
Owners and the complete staff are very much cooperative as well as experienced professionals,HONDA Fort,1
"Not a trustworthy place. During work you have to be there with your car otherwise a new they would find a new fault in your car.
Their staff don't even know manners of talking and handling situation, Place is good but staff and mechanics huh! Their head mechanic(i don't know what they call him) use very bad language after he is unable to identify problem and can't even explain the problem.",Suzuki Sethi Motors (Town Morr),0
Good 3S dealership for Honda very friendly staff,HONDA Township,1
Competitively better team.,HONDA Gateway,1
Good dealer,HONDA Gateway,1
Very good staff,Suzuki Khalid Motors (Link Ferozpur),1
"Very co-operative staff, well experienced mechanics and genuine parts bit costly with peace of mind!",Suzuki Adil Zafar Motors,1
"Very non-professional staff, they couldn't identify my car's problem",Suzuki Raiwind Motors (Raiwind Rd),0
"As compare to Toyota Airport they are very unprofessional.
Staff is always willing for tip.",HONDA Point,0
Nice staff dealing with care and respect.  ,Suzuki Raiwind Motors (Raiwind Rd),1
Honda should cancel their 3S dealership bakwas services fraud,HONDA Gateway,0
"Courteous and supportive staff (based on my experience). Service level has been good so far for my vehicle.

Each visit boosts the trust.",HONDA Point,1
Nice place nice staff,Suzuki Raiwind Motors (Raiwind Rd),1
Their lighting is terrible in the workshops.  ,Suzuki Raiwind Motors (Raiwind Rd),0
I am employee in this dealership. This very good dealership. This peace of heart of gajjumata,HONDA RingRoad,1
Cheat..,Suzuki Raiwind Motors (Raiwind Rd),0
Good show room,HONDA Point,1
Good but expensive service,Suzuki Sethi Motors (Town Morr),0
Thr are not much cooperative,Suzuki Adil Zafar Motors,0
A very good customer service experience regarding Suzuki vehicles,Suzuki Khalid Motors (Link Ferozpur),1
"Excellent service and cooperative staff 100% professional
Special Thanks to my Buddy  Usman Bhatti",Suzuki Mini Motors (Gulberg 3),1
Efficient service and very cooperative Staff,HONDA Point,1
"Busy place. I'll recommend Bilal Autos (10/10) @Academy Road, Gulbergside.",Suzuki Khalid Motors (Link Ferozpur),0
Very Expensive,HONDA Fort,0
"My Suzuki alto 2020 has missing problem since one month, but Suzuki mini motors technical staff did not diagnose the problem till now. very very cheap service and staff....My new car khrab krr dii begarton nae.... I have complete evidence of inefficient technical staff ......pls do not go suzuki mini motors...not recomended",Suzuki Mini Motors (Gulberg 3),0
Service is detiorating.....,HONDA Township,0
I have reservation about their customer service. The sale persons don't answer your calls and messages . And don't even call back.,HONDA Gateway,0
"Friendly environment, excellent service",Suzuki Khalid Motors (Link Ferozpur),1
Very unprofessional staff. Not recommended.,HONDA Township,0
Competent staff. Good & friendly behaviour.,Suzuki Adil Zafar Motors,1
Excellent service,HONDA Fort,1
Not up to the mark facilities... Just work for formality... Undue expensive... Staff not well trained except some .... Oonchi dukan pheeka pakwan...,Suzuki Mini Motors (Gulberg 3),0
very high rate when i go there for my mehran repairing,Suzuki Adil Zafar Motors,0
It's a good place to get your vehicle periodically maintained. Good job done everytime.,Suzuki Mini Motors (Gulberg 3),1
Excellent,Suzuki Raiwind Motors (Raiwind Rd),1
"I didn't feel any difference between mini motors and other Suzuki service centers, Local garages and mechanics are way better than Suzuki service centers.",Suzuki Mini Motors (Gulberg 3),0
Satisfactory service. Labour charges are through the roof though.,HONDA Point,1
Good service,Suzuki Raiwind Motors (Raiwind Rd),1
Perfect location,HONDA Township,1
"Sorry to say, you are lier and cheater as per recent experience.
I gave you 2 stars but keeping in view your dealing style, ignorance, badmashi, converting it into 1 star. If it will be in my control, i must convert it into - ÃÂ¢?ÃÂ¦",HONDA RingRoad,0
Good road,HONDA RingRoad,1
SHAME ON HONDA FORT THIRD CLASS SERVICE,HONDA Gateway,0
Professional team here is good,HONDA Gateway,1
Good satisfactory experience.,HONDA Township,1
"They are courteous, co-operative and professional. Excellent service.",Suzuki Adil Zafar Motors,1
Highly professional staff and recommend to visit there,Suzuki Mini Motors (Gulberg 3),1
Giood but always expensive depite using the same OEMs,Suzuki Mini Motors (Gulberg 3),0
"They offer good washing service, car nut bolt tightening and the opinion was vague, one technician said you must have 6 to 7 repairing work but the final technician said that don't listen anyone. Your car is OK. Anyways a good recommendation by my father",Suzuki Sethi Motors (Town Morr),1
Very good services center and competent staff.,HONDA RingRoad,1
"Good staff. Good service. One thing should be noted by suzuki that they have to provide a receipt to the customers for 1st 1000km service. In my case, they didnt even stamp my manual. Anyhow, thats my experience. Overall they have very talented staff.",Suzuki Mini Motors (Gulberg 3),1
Service and repair is Very expensive than other Honda dealers and Very unprofessional behaviour. After repair you have to be carefully inspect your car or get inspected by independent inspection team. They don't pay attention and miss so,HONDA RingRoad,0
All under one roof,Suzuki Adil Zafar Motors,1
Good,Suzuki Raiwind Motors (Raiwind Rd),1
Good honda center you can purchase the new brand honda cars from here,HONDA Township,1
Good 3S service providers,HONDA Point,1
"Good to have services on Sunday, always check your bills with actual parts used as there may be some embezzlement, after detail comparison with others, rates seems higher, customer sitting area is average, wash rooms in dirty condition, denting painting service is too costly",Suzuki Mini Motors (Gulberg 3),0
Nice showroom of cars but no good management for dealing of clients,Suzuki Sethi Motors (Town Morr),1
Nice working and experienced workers,Suzuki Adil Zafar Motors,1
Very good service,HONDA Township,1
Suzuki showroom and service center with professional staff. They also give you free car services upon purchase of vehicle,Suzuki Adil Zafar Motors,1
Assallamualaikum.wr bhai is showroom ka contact no kisi k pass tu de dain jo no inhon ne dia hai net per wo band hai .,HONDA Point,0
Best customer care service,HONDA RingRoad,1
Astonished to see the extra charge on using bank cards (debit/credit).....a silly way of handling customers....,HONDA Township,0
GOOD SERVICE FOR PARTS AND BODY SHOP BUT STAFF IS NOT COOPERATIVE,Suzuki Khalid Motors (Link Ferozpur),1
"Honda Forte has been the place to take the family Honda cars for a very long time. New cars aside...The 2000 Civic is still maintained by Honda Forte!
Their service has not only helped keep the cars engine maintained but also Ã¢?Â¦",HONDA Fort,1
"DO NOT VISIT...Extremely poor services .. ignore their customers... I had run behind every inspection officer asking to inspect my car.. their arrogance and poor work ethics frustrates me ...i would rather go to any work shop then visit here again .. suzuki should close their workshops and start to improve their cars design and quality.. these work shops are waste of time, money and any form of recommendations ... DO NOT VISIT",Suzuki Sethi Motors (Town Morr),0
Good but very rushy,HONDA Gateway,0
Good,HONDA Fort,1
Nice place,HONDA Fort,1
Because o friendly staff & almost every facilty available of car service.,Suzuki Adil Zafar Motors,1
professional and courteous staff. good service,Suzuki Sethi Motors (Town Morr),1
Good Services,HONDA Fort,1
No body is interested to deal the customer. The behavior of staff is poor.,HONDA Point,0
"They deal their customers on first priority, quite satisfied.",HONDA Gateway,1
Not really good but they pretend to be good,Suzuki Khalid Motors (Link Ferozpur),0
"NOT Satisfied with the SERVICE DEPARTMENT; i had my vehicle diagnosed; the technician who started to diagnose the vehicle seemed like he was NOT happy to be part of the service department's team. He either was not experienced or did not think that satisfaction of the customer was important to him. Upon lifting the vehicle, first thing he told me to do is take the car back and have it washed underneath and then bring it back. His superior obviously disagreed with him and recommended to use a cleaner spray to clean the small area which was presenting the problem (a slow leaking oil pipe). From that point onwards till the end of the diagnosis, not only the technician DID NOT use the cleaner spray but also was not able to reach the loose clamp (the culprit of the problem). Throughout the process he did not remove the front wheel which was the right way to be able to reach the clamp easily but was not able to fix a simple clamp. The end of the story is that I had a simple mechanic at a mechanic '""workshop"" who charged me a simple Rs. 500 (yes correct 5 hundred and even that I insisted because he was generous enough to resist charging me anything) to fix that clamp and was able to do this on a simple jack by removing the front wheel. At some parts of the world, the dealerships are known as ""STEALERSHIPS"" for this exact reason. Please step up ur game Honda Gateway and not become a stealership... since your inexperienced technician then proceeded to tell me to have the entire pump replaced until I asked him to get the head mechanic who obviously disagreed with the technician's diagnosis. Even though I was NOT charged by your service department, I still think I have to present an accurate picture on google reviews.",HONDA Gateway,0
"Visited this place once,had a little interaction with staff. Seems professionally okay but since this is  Suzuki's showroom, it deserves not more than two ??? for selling kachra cars in this country",Suzuki Sethi Motors (Town Morr),1
"Probably the best place to get your New Honda or get your Honda Car checked. They have amazing staff, from owner to gate guard, what a benchmark they are setting in dealership arena. but yea they forgot to give me complementary matts with",HONDA RingRoad,1
Goood hospital.for honda caaaars... ..,HONDA Fort,1
Good service but very high price some mechanics are honest and good,Suzuki Khalid Motors (Link Ferozpur),1
"Had a very loyality diverting experience, this is not for what you go to 3s dealership so they can lie to you just to make some money, this is what road side mechanics do.
I own a 05 baleno, and am a regular customer of Suzuki Samanabad motors but this time I wanted to get my car checked with scanner that they didn't had so they asked me to check this one (Suzuki Khalid motors) when I reached here I explicitly asked from person who did registration to mechanic that will this tuning have a scanner check and they kept saying they will have it scanned at the end of remaining work and at end they simply called an old guy, not so cooperative, who said they don't have scanner for this model. and instead of apologising or doing something, he was continuously trying to blame it on me by making excuses like no one no more have scanner for these. Though other people in market have it.
Piece of advice:- don't ever go to Khalid motors, you go at these places for peace of mind,which you won't get here, if you have to keep at check on everything better do it from road side mechanic for 1/3 of price.",Suzuki Khalid Motors (Link Ferozpur),1
This is 7S dealwership of Suzuki Motor. Mr. Sheraz Kamran who own this business is a nice guy. Solar shop.pk installed 25 KW grid tie solar energy system here few months back. Which is working fine now they are going to add more 15 KW,Suzuki Mini Motors (Gulberg 3),1
Good place,Suzuki Raiwind Motors (Raiwind Rd),1
Staff has no technical knowledge and periodic maintenance knowledge.  ,Suzuki Raiwind Motors (Raiwind Rd),0
Satisfied with performance. Good Service,Suzuki Adil Zafar Motors,1
Good service,HONDA Point,1
Like it,Suzuki Raiwind Motors (Raiwind Rd),1
No experience,HONDA Township,0
Great ambiance 3S Honda Dealership Lahore,HONDA Fort,1
Nice infrastructure,HONDA Point,1
"Poor staff cordination
Customer fully unattended.",HONDA Gateway,0
Nice show room,HONDA Point,1
Very bad Service n not customer care,HONDA Gateway,0
Cooperative staff,HONDA Fort,1
Pathetic service. Sent my car for gear box switch replacement and radiator cut out switch replacement. They didn't have the geniune part and ask to take from open market.  ,Suzuki Raiwind Motors (Raiwind Rd),0
Thank you for the timely delivery as was committed. Loving the ride,HONDA Gateway,1
"Good service quality, probably the best Honda service center in Lahore",HONDA Township,1
Number 1 7S authorised dealer in pakistan,Suzuki Mini Motors (Gulberg 3),1
Good dealing but there phones always goes busy.,Suzuki Khalid Motors (Link Ferozpur),1
Too much expensive car maintenance,HONDA RingRoad,0
Bike service worst experience,Suzuki Mini Motors (Gulberg 3),0
It's a well constructed and beautiful made showroom on ferozpur road near model town all vehicles of company are available here with some own and non own basis,Suzuki Sethi Motors (Town Morr),1
Great service.,HONDA Fort,1
poor service,HONDA Point,0
"Terrible experience today 4 June, 2019. Reached 9.15 hrs. After 2 hours, the job was completed except replacing wiper blades that requires few seconds. They put me on hold for one hour that Electrical Pit was not free. After repeated reminders to the Incharge Arsalan, I ultimately met their Management Mr Rehman and in the next 5 minutes, my car was out of the Workshop. There is hardly any work management in workshop area. It has happened to me in the past as well.",Suzuki Sethi Motors (Town Morr),0
Worst staff. They don't want to work at all and just want you to spend money in their workshop as much as you can. Imran n Javaid bhai are comparitively better n coperative. Beware of Qasim a bulky person incharge of wheel alignment. U will definately get ur car damaged and no one will listen to u. I will never go to this workshop again.,Suzuki Adil Zafar Motors,0
Nice experience,HONDA Gateway,1
"It's always good for My Suzuki car maintenance here. Courteous & efficient staff, cooperative system",Suzuki Adil Zafar Motors,1
Received vehicle with faults which an ordinary person can not found..only an expert person who have the knowledge of vehicle denting and painting experience can judge it.,Suzuki Adil Zafar Motors,0
"I went there to take the information for a bike on installment. The customer service was 2/10, and was feeling like they don't want to deal.
Second, the policy of Suzuki for bike on installments,
You only can buy if you residing in Lahore and the permanent address must be Lahore. Otherwise you are not eligible.......
I make a request but they straight away Denied, and said, company policy. I am criticism company policy not mini motors...
Placed in a crowdy area of Lahore , not a easy access,
Would not suggest you to visit if you don't belongs to that place..",Suzuki Mini Motors (Gulberg 3),0
Good quality of work but Commitment of time is weak. Agreed on 5days but taken 16days on that work. Staff is cooperative and friendly.,HONDA Point,0
Ac mechanic both were absent. Waste of time,HONDA Fort,0
Sales services and part's,Suzuki Adil Zafar Motors,1
Good service,HONDA Point,1
"Staff is very courteous, highly professional. Was really impressed woth their attitude. Specially a guy usman khan and mechanic babar are a good front line image of suzuki mini motors.",Suzuki Mini Motors (Gulberg 3),1
"Pathetic body shop work, way too slow for the prices they charge.",Suzuki Raiwind Motors (Raiwind Rd),0
Car care center,Suzuki Raiwind Motors (Raiwind Rd),1
